Tag,Data,Type
1_XY.x[0],1.3315616846084595,REAL
1_XY.x[1],1.3319282531738281,REAL
1_XY.x[2],1.3330212831497192,REAL
1_XY.x[3],1.3333210945129395,REAL
1_XY.x[4],1.333592176437378,REAL
1_XY.y[0],3.0283052921295166,REAL
1_XY.y[1],3.659268379211426,REAL
1_XY.y[2],5.198546409606934,REAL
1_XY.y[3],5.758459568023682,REAL
1_XY.y[4],6.218135356903076,REAL
1_XY.x[0],1.3315616846084595,REAL
1_XY.x[1],1.3319282531738281,REAL
1_XY.x[2],1.3330212831497192,REAL
1_XY.x[3],1.3333210945129395,REAL
1_XY.x[4],1.333592176437378,REAL
1_XY.y[0],3.0283052921295166,REAL
1_XY.y[1],3.659268379211426,REAL
1_XY.y[2],5.198546409606934,REAL
1_XY.y[3],5.758459568023682,REAL
1_XY.y[4],6.218135356903076,REAL
3_XY.x[0],8.448801040649414,REAL
3_XY.x[1],9.274253845214844,REAL
3_XY.x[2],10.091423034667969,REAL
3_XY.x[3],10.970900535583496,REAL
3_XY.x[4],11.824820518493652,REAL
3_XY.y[0],0.6738958954811096,REAL
3_XY.y[1],0.8287172913551331,REAL
3_XY.y[2],1.002286672592163,REAL
3_XY.y[3],1.2390697002410889,REAL
3_XY.y[4],1.563409686088562,REAL
3_XY.x[0],8.448801040649414,REAL
3_XY.x[1],9.274253845214844,REAL
3_XY.x[2],10.091423034667969,REAL
3_XY.x[3],10.970900535583496,REAL
3_XY.x[4],11.824820518493652,REAL
3_XY.y[0],0.6738958954811096,REAL
3_XY.y[1],0.8287172913551331,REAL
3_XY.y[2],1.002286672592163,REAL
3_XY.y[3],1.2390697002410889,REAL
3_XY.y[4],1.563409686088562,REAL
